Word	Havg	StDev	GoogleRank	translation
空白	8095	4.78	1.1301	4125	Blank
关头	8096	4.78	1.0554	6131	Moment
哪怕	8097	4.78	1.0160	6396	Even if
乘机	8098	4.78	1.2501	9795	Seize the opportunity
触及	8099	4.78	0.9957	7310	Touch
麽	8100	4.78	0.8401	8013	What
排水	8101	4.78	1.2337	9250	Drain
所用	8102	4.78	1.3445	3912	Used
分解	8103	4.78	0.8873	5615	Decomposition
案子	8104	4.78	0.9957	9527	Case
震动	8105	4.78	1.2824	4532	Shock
虽说	8106	4.78	0.9957	9200	Although
巴	8107	4.78	0.9957	1762	Pakistan
控制	8108	4.78	1.3293	408	Control
再见	8109	4.78	1.6325	9673	Goodbye
手续	8110	4.78	1.0746	2645	Formalities
下来	8111	4.78	0.8640	1006	Down
农村	8112	4.78	1.3293	257	Countryside
干部	8113	4.78	1.7530	788	Cadres
即使	8114	4.78	1.1480	1066	Even if
作文	8115	4.78	0.9100	6746	Composition
排除	8116	4.78	1.4327	2684	Exclude
干	8117	4.78	1.2824	2216	Dry
代为	8118	4.78	0.7083	7672	On behalf of
诊断	8119	4.78	0.7637	4038	Diagnosis
稍	8120	4.78	1.1301	4686	A little
返回	8121	4.78	1.2982	3051	Return
故	8122	4.78	0.7900	1779	Therefore
夸张	8123	4.78	1.4184	4889	Exaggeration
临近	8124	4.78	1.0746	8894	Close
受到	8125	4.78	0.7637	489	Suffer
劳资	8126	4.78	1.1119	6082	Labor and capital
上司	8127	4.78	0.9957	9479	Boss
靠	8128	4.78	1.4609	1807	By
官兵	8129	4.78	0.8401	3774	Soldiers
隔	8130	4.78	0.7900	5982	Partition
户	8131	4.78	0.9322	1136	Household
抽	8132	4.78	0.9957	6696	Draw
供给制	8133	4.78	1.2337	9693	Supply system
身世	8134	4.78	1.1657	9444	Life experience
作风	8135	4.78	1.1119	3524	Style
沙皇	8136	4.78	1.4748	8924	Tsar
执法	8137	4.78	0.9538	2281	Law enforcement
阶段	8138	4.78	1.1830	347	Stage
采矿	8139	4.78	1.1830	5847	Mining
征	8140	4.78	1.2337	2288	Levy
霍	8141	4.78	1.0160	6441	Huo
阵地	8142	4.78	1.1301	3905	Position
归口	8143	4.76	1.0412	7832	Centralized
爬	8144	4.76	0.7969	7932	Climb
同化	8145	4.76	1.3786	8874	Assimilation
外	8146	4.76	1.0012	196	Outside
连带	8147	4.76	1.1528	7100	Associated
苏联	8148	4.76	1.2048	1076	Soviet Union
不下	8149	4.76	1.2545	6337	No less than
迁移	8150	4.76	1.3786	3202	Migrate
什麼	8151	4.76	0.8221	5024	What
出庭	8152	4.76	1.4507	9119	Court
碰	8153	4.76	1.3334	4758	Touch
遗址	8154	4.76	1.2867	4316	Ruins
基地	8155	4.76	1.3024	1496	Base
滋生	8156	4.76	1.4507	8586	Breeding
练兵	8157	4.76	1.1528	9810	Training
何人	8158	4.76	1.0214	9249	Who
政府	8159	4.76	1.1877	73	Government
弄	8160	4.76	0.9381	3381	Get
无非	8161	4.76	1.0606	7920	Nothing
距	8162	4.76	1.4647	5671	Distance
地步	8163	4.76	1.0214	5438	Extent
月底	8164	4.76	1.1350	2612	End
小姐	8165	4.76	1.1168	5766	Miss
再不	8166	4.76	1.4786	8404	Do not
条件	8167	4.76	0.8935	153	Condition
追究	8168	4.76	1.3486	3092	Investigate
盖	8169	4.76	1.2867	4002	Cover
其中	8170	4.76	1.3334	236	Among
绍	8171	4.76	1.0214	5380	Introduce
半期	8172	4.76	1.0012	9331	Half of the
over	8173	4.76	1.0797	8423	over
最後	8174	4.76	1.4647	6623	Final
伏	8175	4.76	0.9806	6479	Volt
冒	8176	4.76	1.2867	7240	Risk
兵力	8177	4.76	1.3334	2754	Troops
军费	8178	4.76	1.3024	7213	Military expenditure
或者	8179	4.76	1.1877	321	Or
既是	8180	4.76	1.0012	2303	As
新旧	8181	4.76	1.0214	5744	Old and new
户籍	8182	4.76	1.0012	6444	Census
一味	8183	4.76	1.1704	8475	Blindly
过后	8184	4.76	0.9596	5528	After
si	8185	4.76	1.3486	9659	si
买办	8186	4.76	0.9161	7690	Comprador
抽取	8187	4.76	0.9596	8544	Extraction
早已	8188	4.76	1.0984	2700	Long ago
边防	8189	4.76	1.2707	5197	Border defense
检察	8190	4.76	1.0984	2214	Attorney
深重	8191	4.76	1.2707	7551	Very grave
黄土	8192	4.74	1.1747	9467	Loess
施工	8193	4.74	1.1214	2825	Construction
纂	8194	4.74	1.1031	9727	Redact
党校	8195	4.74	1.4401	5102	Party
防务	8196	4.74	0.9649	7196	Defense
未知	8197	4.74	1.3674	7816	Unknown
正副	8198	4.74	1.0844	9352	Deputy
半天	8199	4.74	1.0654	7054	Long time
轴	8200	4.74	0.9649	8990	Axis
器官	8201	4.74	1.0844	5176	Organ
边缘	8202	4.74	1.1747	3871	Edge
科	8203	4.74	1.1920	1087	Branch
严	8204	4.74	1.4682	2418	Strict
可由	8205	4.74	1.2090	6121	By
挖	8206	4.74	0.7775	9129	Dig
纷	8207	4.74	1.0844	6474	Confused
地上	8208	4.74	1.0264	3282	Ground
假设	8209	4.74	1.0844	3362	Hypothesis
盾	8210	4.74	1.0461	3491	Shield
成败	8211	4.74	0.9216	5112	Success
十条	8212	4.74	1.3063	2740	Ten
车队	8213	4.74	1.1920	7572	Motorcade
未	8214	4.74	1.0654	543	Not
木	8215	4.74	0.9858	3860	Wood
官府	8216	4.74	1.3524	9911	Official
眶	8217	4.74	0.9649	8546	Orbital
党委	8218	4.74	1.3822	3454	Party committee
依附	8219	4.74	1.6138	5456	Depend
动用	8220	4.74	1.1031	7827	Draw on
who	8221	4.74	0.9216	9008	who
乙	8222	4.74	0.9858	5483	B
施加	8223	4.74	1.5624	5487	Exert
债权人	8224	4.74	1.3372	4017	Creditor
抵	8225	4.74	1.3969	6584	Reach
岂	8226	4.74	0.9435	8278	How can it be
当务之急	8227	4.74	1.2090	8467	Urgent priority
段	8228	4.74	0.8762	1070	Paragraph
农	8229	4.74	1.2747	1093	Agriculture
改名	8230	4.74	0.8526	5923	Renamed
除了	8231	4.74	0.6943	871	In addition to
政令	8232	4.74	0.9858	9589	Government decree
借用	8233	4.74	1.1920	6120	Borrow
due	8234	4.74	1.1572	8189	due
不用	8235	4.74	1.6138	2855	Need not
案	8236	4.74	1.2423	1294	Case
系数	8237	4.74	1.0844	3566	Coefficient
燃烧	8238	4.72	1.4148	5701	Combustion
利害	8239	4.72	1.2623	3982	Interest
劳	8240	4.72	1.1787	3047	Labor
耐烦	8241	4.72	1.8848	9049	Patient
孟加拉	8242	4.72	1.1073	9575	Bengal
链条	8243	4.72	0.9697	9784	Chain
条	8244	4.72	0.7570	619	Article
化工	8245	4.72	1.3254	3125	Chemical industry
工	8246	4.72	1.1787	374	Work
股票	8247	4.72	1.0506	1455	Stock
结束	8248	4.72	1.4148	1021	End
下属	8249	4.72	0.9697	5718	Subordinate
止	8250	4.72	1.1256	2639	Only
瓦	8251	4.72	0.9697	4554	Tile
打下	8252	4.72	1.3099	4027	Lay
泡沫	8253	4.72	1.6665	8796	Foam
等	8254	4.72	1.4003	74	Wait
隐蔽	8255	4.72	1.1613	5871	Covert
脾气	8256	4.72	1.4434	6567	Temper
国民党	8257	4.72	1.4714	602	Kuomintang
抢险	8258	4.72	1.4574	8238	Rescue
血肉	8259	4.72	1.3559	7340	Flesh
践	8260	4.72	1.2461	4595	Fulfill
不过	8261	4.72	1.4291	778	But
分别	8262	4.72	1.3407	736	Respectively
尾	8263	4.72	1.4003	9017	Tail
变量	8264	4.72	1.3099	2578	Variable
难道	8265	4.72	1.0887	3309	Do
堆	8266	4.72	1.0110	5228	Heap
统战	8267	4.72	1.2461	7927	United Front
朱	8268	4.72	1.0887	4713	Cinnabar
剂	8269	4.72	1.2784	5314	Preparation
审查	8270	4.72	1.7148	1290	Examine
战线	8271	4.72	1.0698	2663	Front
监察	8272	4.72	1.1787	2632	Supervise
警	8273	4.72	1.2943	5053	Police
单	8274	4.72	1.1073	1125	Single
手段	8275	4.72	1.1959	614	Means
开征	8276	4.72	1.0506	9020	Introduction
攻势	8277	4.72	1.2943	4606	Offensive
纳税	8278	4.72	1.2296	1704	Pay taxes
为止	8279	4.72	0.8340	2465	Till
未必	8280	4.72	0.9697	5769	Not necessarily
烈	8281	4.72	1.6167	3967	Strong
终年	8282	4.72	1.4988	9016	Throughout the year
支配	8283	4.72	1.1787	2573	Dominate
忽然	8284	4.72	1.1256	3409	Suddenly
税种	8285	4.72	1.2943	8480	Taxes
并发	8286	4.72	1.0698	8153	Complicating
贵	8287	4.72	1.7961	4232	Expensive
征管	8288	4.72	1.1787	8982	Collection
复查	8289	4.72	1.2784	8305	Review
势必	8290	4.72	1.1959	4628	Bound
犹	8291	4.72	1.3559	9783	Still
置疑	8292	4.72	1.5784	6987	Doubt
处境	8293	4.72	0.9906	4012	Plight
指令	8294	4.72	1.3708	2699	Instruction
彻底	8295	4.72	1.0506	1339	Thorough
有事	8296	4.70	1.3132	8549	Occupied
停	8297	4.70	1.1995	3015	Stop
边区	8298	4.70	0.7626	3784	Border area
假定	8299	4.70	0.7626	3424	Assumed
差额	8300	4.70	1.0351	4887	Difference
关门	8301	4.70	1.2657	9524	Closed
雇主	8302	4.70	0.9091	5726	Employer
end	8303	4.70	1.3887	5192	end
权限	8304	4.70	1.0738	3158	Competence
监管	8305	4.70	1.3590	2693	Regulatory
统治	8306	4.70	1.3740	1053	Rule
卜	8307	4.70	1.0152	5917	Divine
扔	8308	4.70	1.2817	8823	Throw
抗战	8309	4.70	1.3740	1402	Resistance
引渡	8310	4.70	1.5419	9576	Extradite
撤回	8311	4.70	1.3590	7032	Withdraw
舍	8312	4.70	1.2495	6422	House
防疫	8313	4.70	1.7757	7426	Prevention
对手	8314	4.70	1.2817	3426	Rival
清除	8315	4.70	1.2164	4224	Remove
press	8316	4.70	1.2817	7363	press
拳头	8317	4.70	1.1112	7590	Fist
小农	8318	4.70	1.3740	6883	Smallholder
较	8319	4.70	1.1294	258	Relatively
隐私	8320	4.70	0.9313	8410	Privacy
扩散	8321	4.70	1.1112	3923	Diffusion
蒙	8322	4.70	1.3740	8228	Mongolian
收容	8323	4.70	1.2976	8090	House
勒	8324	4.70	1.4880	3379	Le
架	8325	4.70	0.9091	3643	Shelf
措	8326	4.70	1.1294	3574	Measures
高考	8327	4.70	1.4463	8309	Entrance
不然	8328	4.70	1.0738	4696	Otherwise
下落	8329	4.70	1.0546	8976	Whereabouts
徒	8330	4.70	1.0546	3928	Only
独	8331	4.70	1.5811	2604	Alone
一幕	8332	4.70	1.1473	6915	Scene
却说	8333	4.70	0.9949	9472	Said
门诊	8334	4.70	1.5419	9262	Outpatient
大革命	8335	4.70	1.5811	1701	Revolution
人造	8336	4.70	1.2657	9356	Man-made
防线	8337	4.70	1.1294	9122	Defense
揭露	8338	4.70	1.8211	3077	Disclosure
炮兵	8339	4.70	1.2657	7479	Artillery
除非	8340	4.70	1.2657	4239	Unless
借	8341	4.70	0.9742	2960	Borrow
教化	8342	4.70	1.4178	9108	Enlightenment
伊拉克	8343	4.70	1.2817	4272	Iraq
戈	8344	4.70	0.8631	5864	Ge
布雷	8345	4.70	0.9742	9500	Bray
动因	8346	4.70	1.0546	8218	Motivation
兵役	8347	4.70	1.3439	6289	Military service
黑色	8348	4.70	1.7291	4934	Black
租用	8349	4.70	1.0152	8665	Hire
除	8350	4.70	1.1112	1056	Except
抵御	8351	4.68	1.5706	7154	Against
收受	8352	4.68	1.1507	9774	Accepting
间隔	8353	4.68	0.9781	6994	Interval
宗法	8354	4.68	0.9570	9570	Patriarchal
色	8355	4.68	1.5964	2058	Color
绕	8356	4.68	0.8676	7925	Bypass
现役	8357	4.68	0.9134	9861	Active duty
阿尔巴尼亚	8358	4.68	1.3915	8286	Albania
抵消	8359	4.68	1.3768	8760	Offset
堆积	8360	4.68	1.0962	8068	Accumulation
争	8361	4.68	1.5043	1426	Fight
其次	8362	4.68	1.2196	1808	Secondly
变	8363	4.68	1.2027	531	Change
口气	8364	4.68	0.9134	4513	Tone
然而	8365	4.68	1.0962	616	However
日本	8366	4.68	1.4907	350	Japan
虚拟	8367	4.68	1.3161	5167	Virtual
介入	8368	4.68	1.3915	6066	Intervention
抽查	8369	4.68	0.9355	7815	Spot-check
截止	8370	4.68	1.1507	5895	Cutoff
涉及	8371	4.68	0.7126	1033	Involve
性命	8372	4.68	1.5964	9381	Life
俄	8373	4.68	0.9570	1763	Russian
江泽民	8374	4.68	1.9424	2764	Jiang
无意识	8375	4.68	0.9570	6495	Unconscious
茨	8376	4.68	1.0774	5727	Mainz
边远	8377	4.68	1.1507	6075	Outlying
却	8378	4.68	1.4061	421	But
下达	8379	4.68	0.9988	3659	Issued
驻军	8380	4.68	1.0774	8174	Garrison
不必	8381	4.68	1.1507	2458	Does not have to
汽油	8382	4.68	1.2027	7066	Gasoline
审理	8383	4.68	1.2848	2526	Hearing
斯拉夫	8384	4.68	1.2526	7728	Slavic
乃至	8385	4.68	0.7677	2853	And even
卷烟	8386	4.68	1.3161	6665	Cigarette
旁观	8387	4.68	1.1683	9964	Look on
通报	8388	4.68	1.0962	4057	Bulletin
卡	8389	4.68	1.1147	2173	Card
各自	8390	4.68	0.9781	1603	Each
贷款	8391	4.66	1.4230	873	Credit
膨	8392	4.66	1.1178	9644	Swollen
基层	8393	4.66	1.2056	1326	Grass roots
防火	8394	4.66	1.3032	6501	Fireproof
非	8395	4.66	1.0022	427	Non-
军	8396	4.66	1.1359	565	Military
短暂	8397	4.66	1.3494	6525	Short
虽然	8398	4.66	0.7453	367	Though
哎呀	8399	4.66	1.3494	8399	Ah
热	8400	4.66	1.4930	2959	Hot
告	8401	4.66	0.9392	2175	Tell
监督	8402	4.66	1.2554	792	Supervise
变动	8403	4.66	1.3032	1521	Change
不止	8404	4.66	1.1886	4940	More than
造成	8405	4.66	1.3940	500	Create
余	8406	4.66	1.5598	1296	I
岁月	8407	4.66	1.2554	4842	Years
审批	8408	4.66	0.8478	2227	Approval
激战	8409	4.66	1.5467	6740	Fierce fighting
反倾销	8410	4.66	1.6856	5902	Anti-dumping
最短	8411	4.66	1.6239	8429	Shortest
卻	8412	4.66	0.8715	8712	But
忙于	8413	4.66	1.1537	8440	Busy
疗	8414	4.66	1.3793	5508	Cure
tax	8415	4.66	1.2390	9306	tax
不易	8416	4.66	1.4514	3478	Easy
致使	8417	4.66	1.3793	3654	Cause
等待	8418	4.66	1.2554	2990	Wait
徘徊	8419	4.66	1.6734	6424	Hover
差异	8420	4.66	1.3644	1243	Difference
散	8421	4.66	1.3793	4955	Scatter
占	8422	4.66	1.2875	517	Account
一般	8423	4.66	0.6884	280	General
威慑	8424	4.66	1.7451	9400	Deterrence
个子	8425	4.66	1.0224	8880	Stature
原告	8426	4.66	1.3644	3918	Plaintiff
地租	8427	4.66	1.2715	5046	Land rent
别	8428	4.64	0.7494	1197	Other
煤	8429	4.64	1.1911	3237	Coal
编纂	8430	4.64	1.2898	4378	Compile
兢	8431	4.64	1.1386	7409	Apprehensive
克制	8432	4.64	1.2578	8734	Restraint
限于	8433	4.64	1.2249	2603	Be limited to
面临	8434	4.64	1.1739	1323	Face
中东	8435	4.64	1.1563	3806	Middle East
一再	8436	4.64	1.0645	4523	Again
是非	8437	4.64	1.3962	3024	Non-
政治	8438	4.64	0.8271	100	Political
神经	8439	4.64	1.8043	3891	Nerve
不容	8440	4.64	1.3365	3330	Not allow
软	8441	4.64	1.2081	3815	Soft
煤气	8442	4.64	1.1911	7960	Gas
停留	8443	4.64	1.1021	3378	Remain
矿井	8444	4.64	1.2898	8392	Mine
居留	8445	4.64	1.2898	7355	Reside
审议	8446	4.64	0.7494	2651	Deliberation
骨头	8447	4.64	1.1739	9355	Bone
军政	8448	4.64	1.2578	8128	Military
下级	8449	4.64	1.3516	5645	Lower
裁决	8450	4.64	1.5221	3861	Ruling
激进	8451	4.64	1.3056	5337	Radical
剧烈	8452	4.64	1.3056	4410	Severe
很久	8453	4.64	1.4394	4189	Long
矿工	8454	4.64	1.2249	7067	Miner
零	8455	4.64	1.0645	2103	Zero
管道	8456	4.64	1.2081	6646	Pipeline
断言	8457	4.64	1.1739	7354	Assertion
雷	8458	4.64	1.2081	3396	Mine
杜绝	8459	4.64	1.4107	8223	Put an end to
作业	8460	4.64	1.1021	2330	Operation
灰	8461	4.64	1.4394	9790	Gray
军事	8462	4.64	0.9424	612	Military
驱使	8463	4.64	1.2739	7955	Urge
导致	8464	4.64	1.1205	934	Cause
火	8465	4.62	1.4831	4090	Fire
求	8466	4.62	1.3686	1100	Request
租	8467	4.62	1.3686	4762	Rent
闭幕	8468	4.62	1.3076	5754	Close
搞	8469	4.62	1.1933	1722	Do
形而上学	8470	4.62	1.3384	4619	Metaphysics
清偿	8471	4.62	1.3981	5679	Pay off
左翼	8472	4.62	1.3536	7378	Left wing
煤炭	8473	4.62	1.1229	2285	Coal
竟	8474	4.62	1.1045	3542	Actually
判	8475	4.62	1.2103	3153	Sentence
痕迹	8476	4.62	1.0859	3796	Trace
转让	8477	4.62	0.9666	1898	Transfer
墙壁	8478	4.62	1.1933	7042	Wall
偏重	8479	4.62	1.2271	7271	Lay particular stress
随便	8480	4.62	1.2760	4574	Casual
缩	8481	4.62	1.1586	7344	Shrink
批示	8482	4.62	1.1933	5498	Instructions
费	8483	4.62	1.4270	686	Fee
但	8484	4.62	0.9234	52	But
缩短	8485	4.62	1.1761	4061	Shorten
老年	8486	4.62	1.2271	2441	Elderly
支出	8487	4.62	1.2103	1332	Expenditure
事后	8488	4.62	0.8781	5315	Afterwards
捉	8489	4.62	1.1045	7103	Catch
下游	8490	4.62	1.3231	5523	Downstream
否则	8491	4.62	1.1933	1596	Otherwise
底下	8492	4.62	1.1409	9509	Below
蒙受	8493	4.62	1.5765	8633	Suffer
斯	8494	4.62	1.2436	548	Adams
仅	8495	4.62	0.9875	916	Only
督促	8496	4.62	1.1045	6777	Urge
塞	8497	4.62	1.3536	4267	Stopper
洪	8498	4.62	1.4831	9407	Flood
阿富汗	8499	4.60	1.4142	6208	Afghanistan
撤销	8500	4.60	1.3248	2240	Revocation
后进	8501	4.60	1.5649	7547	Backward
信贷	8502	4.60	1.0498	1659	Credit
刮	8503	4.60	1.2289	9062	Scratch
不過	8504	4.60	1.1606	7848	But
防	8505	4.60	1.1780	3035	Anti-
碑	8506	4.60	1.4983	9780	Monument
占有	8507	4.60	1.2122	1279	Occupy
核	8508	4.60	1.1952	2375	Nuclear
角落	8509	4.60	1.3401	5341	Corner
堡垒	8510	4.60	1.5386	7038	Fort
传闻	8511	4.60	1.1606	8946	Hearsay
谋	8512	4.60	1.2778	4435	Seek
相差	8513	4.60	1.0302	5753	Difference
费用	8514	4.60	1.0102	1025	Fee
油气	8515	4.60	1.4286	9988	Oil and Gas
隶属	8516	4.60	1.2289	5634	Subjection
穆斯林	8517	4.60	1.1606	6445	Muslim
减缓	8518	4.60	1.3401	8895	Slow down
私有制	8519	4.60	1.2289	3313	Private ownership
仲裁	8520	4.60	1.2454	1978	Arbitration
末年	8521	4.60	1.2778	9424	Dynasty
最小	8522	4.60	0.9258	4126	Least
解散	8523	4.60	1.6036	4678	Dissolve
non	8524	4.60	1.1249	9762	non
逐年	8525	4.60	1.2454	3155	Year after year
下	8526	4.60	1.0102	69	Next
退休	8527	4.60	1.5649	1993	Retirement
大雨	8528	4.60	1.5779	9827	Heavy rain
派别	8529	4.60	1.3553	5444	Faction
投机	8530	4.60	1.4983	3778	Speculate
夹	8531	4.60	1.3401	6301	Clip
义和团	8532	4.60	1.1249	6261	Boxer
限度	8533	4.60	0.9035	2938	Limit
错觉	8534	4.60	1.2289	9907	Illusion
小	8535	4.60	1.2289	326	Small
魂	8536	4.60	1.4569	8179	Soul
推销	8537	4.60	1.6162	4570	Sell
片面性	8538	4.60	1.6036	6944	One-sidedness
军备	8539	4.60	1.0690	6278	Armaments
折旧	8540	4.58	1.1445	5077	Depreciation
消除	8541	4.58	1.4581	1790	Eliminate
功利	8542	4.58	1.6299	6003	Utilitarian
财税	8543	4.58	1.3716	7007	Taxation
二审	8544	4.58	1.1445	7183	Second trial
差别	8545	4.58	0.9708	1563	Difference
裁军	8546	4.58	1.4721	6837	Disarmament
追查	8547	4.58	1.2950	9715	Track down
愈演愈烈	8548	4.58	1.8305	9683	Intensified
退还	8549	4.58	1.4299	6625	Return
差价	8550	4.58	1.1796	6950	Spread
难免	8551	4.58	1.2469	5297	Inevitably
反之	8552	4.58	0.8593	4291	On the contrary
停止	8553	4.58	1.1082	1408	Stop
审	8554	4.58	1.0319	2984	Examine
马列	8555	4.58	1.4859	4645	Marxism
并非	8556	4.58	0.9916	4737	Not
批	8557	4.58	1.2631	987	Batch
沉积	8558	4.58	1.1968	7481	Sedimentary
教条	8559	4.58	1.3716	5655	Dogma
扑灭	8560	4.58	1.4155	9969	Extinguish
幻觉	8561	4.58	1.4995	7953	Hallucination
货款	8562	4.58	1.5791	7041	Payment
开会	8563	4.58	1.5530	2312	Hold a meeting
野心	8564	4.58	1.4995	5150	Ambition
极限	8565	4.58	1.2631	8183	Limit
揭	8566	4.58	0.9278	6982	Expose
化肥	8567	4.58	1.2137	4851	Fertilizer
抗击	8568	4.58	1.5131	8267	Resist
委	8569	4.58	1.0319	825	Appoint
末	8570	4.58	1.2631	3400	End
暂停	8571	4.58	0.9055	7782	Pause
论争	8572	4.58	1.4299	9746	Controversy
革	8573	4.58	1.1622	1812	Leather
染	8574	4.58	1.3415	5569	Dye
分散	8575	4.58	1.0515	2116	Dispersion
地下	8576	4.58	1.3107	2943	Underground
控	8577	4.58	0.9708	3433	Control
中共	8578	4.56	1.8969	660	Chinese Communist Party
底	8579	4.56	1.1980	2918	End
斯大林	8580	4.56	1.6433	3328	Stalin
重重	8581	4.56	1.1980	5440	Heavy
漫长	8582	4.56	1.4730	3900	Very long
立案	8583	4.56	1.0529	6977	Register
烙印	8584	4.56	1.4020	7515	Brand
独自	8585	4.56	1.2961	8854	Alone
空想	8586	4.56	1.4165	6262	Fantasy
异	8587	4.56	0.9510	3254	Different
不致	8588	4.56	1.4309	5908	Without
打工	8589	4.56	1.5539	8763	Wage
无所谓	8590	4.56	1.3118	8200	Does not matter
容忍	8591	4.56	1.4868	4728	Tolerate
地主	8592	4.56	1.4165	3130	Landowners
击	8593	4.56	1.1095	1739	Strike
倾斜	8594	4.56	1.0134	4127	Tilt
次	8595	4.56	1.1278	139	Secondary
掉	8596	4.56	1.3874	2172	Fall
加剧	8597	4.56	1.4591	3641	Exacerbate
除去	8598	4.56	1.4450	8136	Except
压低	8599	4.56	1.5140	9633	Down
但是	8600	4.56	0.8609	162	But
压缩	8601	4.56	1.1278	3232	Compression
损益	8602	4.56	0.9930	8382	Profit and loss
绝	8603	4.56	1.4591	1239	Absolutely
外人	8604	4.56	1.2961	7894	Outsider
传单	8605	4.56	1.2149	7627	Leaflet
通告	8606	4.56	1.4165	6384	Circular
踏	8607	4.56	1.3118	6122	Tread
吃惊	8608	4.56	1.1095	5897	Surprised
降落	8609	4.56	1.1808	8272	Landing
惊讶	8610	4.54	1.4737	5213	Surprised
干预	8611	4.54	1.5281	2846	Intervention
不曾	8612	4.54	0.9733	5512	Never
税制	8613	4.54	1.4028	5161	Tax system
大炮	8614	4.54	1.3126	8980	Cannon
单独	8615	4.54	1.3126	2887	Alone
年纪	8616	4.54	1.3734	7131	Young
限期	8617	4.54	1.0919	6691	Deadline
退伍	8618	4.54	1.1466	7188	Veterans
滑	8619	4.54	0.9521	6415	Slip
急需	8620	4.54	1.2488	4911	Urgent need
欲	8621	4.54	1.3126	5524	Wish
限定	8622	4.54	1.2811	6141	Limited
渗透	8623	4.54	1.3433	3111	Penetration
子弹	8624	4.54	1.6315	4746	Bullet
矛头	8625	4.54	1.3584	7986	Spearhead
搜查	8626	4.54	1.5012	8116	Search
税务	8627	4.54	1.0730	1999	Taxation
辛	8628	4.54	1.1466	4992	Hard
麻	8629	4.54	1.3280	7663	Hemp
招致	8630	4.54	1.2157	8862	Incur
膨胀	8631	4.54	1.3734	1616	Swell
敏感	8632	4.54	1.6807	3182	Sensitive
阶级	8633	4.54	1.1466	175	Class
只是	8634	4.54	0.8621	468	Just
租界	8635	4.54	1.1466	9892	Concession
野	8636	4.52	1.0736	9204	Wild
看守	8637	4.52	1.3285	8234	Guard
肃	8638	4.52	1.1993	7929	Su
训	8639	4.52	1.4879	3804	Train
官办	8640	4.52	1.4462	9463	Government-run
税额	8641	4.52	1.1648	7771	Tax
增值税	8642	4.52	1.3130	4045	VAT
抛	8643	4.52	1.0736	8187	Throw
剩	8644	4.52	1.4177	2774	Surplus
倒	8645	4.52	1.1648	3722	Inverted
农业税	8646	4.52	1.3886	5510	Agricultural
代末	8647	4.52	1.2162	3619	The late
兵器	8648	4.52	1.1822	8736	Weapon
抓	8649	4.52	1.1822	1226	Catch
分立	8650	4.52	1.1822	8614	Discrete
披露	8651	4.52	1.3886	5239	Disclosure
偿付	8652	4.52	1.3130	7841	Pay
相反	8653	4.52	0.9739	1556	Contrary
but	8654	4.52	1.1110	6686	but
处置	8655	4.52	1.3285	4137	Deal with
收回	8656	4.52	1.0925	3794	Withdraw
杂	8657	4.52	1.3285	4364	Miscellaneous
仅仅	8658	4.52	1.0150	1096	Only
征用	8659	4.52	1.0349	6964	Expropriation
猪	8660	4.52	1.2656	7813	Pig
肉体	8661	4.52	1.1292	7161	Flesh
无辜	8662	4.52	1.3438	7251	Innocent
尚未	8663	4.50	0.8631	1573	Not yet
最低限	8664	4.50	1.1824	6954	Minimum
制止	8665	4.50	1.1650	3290	Stop
低	8666	4.50	1.2330	677	Low
清查	8667	4.50	1.2817	6559	Check
难怪	8668	4.50	0.9949	7617	No wonder
耽	8669	4.50	1.2657	9857	Delay
抗	8670	4.50	1.2976	3563	Anti-
捕	8671	4.50	1.4880	2636	Catch
检察院	8672	4.50	1.3590	2356	Procuratorate
突然	8673	4.50	0.9091	1843	Suddenly
奇怪	8674	4.50	1.3132	2598	Strange
所有制	8675	4.50	1.2976	1036	Ownership
局限	8676	4.50	1.2330	2634	Limit
晚	8677	4.50	1.3740	2045	Night
x	8678	4.50	1.5152	4178	x
药物	8679	4.50	1.1650	3548	Drug
右派	8680	4.50	1.3439	5993	Right
缴	8681	4.50	1.1473	5531	Pay
告诫	8682	4.50	1.0926	8610	Warn
坦克	8683	4.50	1.2976	7272	Tank
抢救	8684	4.50	1.6444	5622	Rescue
质变	8685	4.50	1.5419	8634	Qualitative
诱惑	8686	4.50	1.7291	7006	Enticement
重申	8687	4.50	0.9313	4681	Reaffirm
被	8688	4.50	1.1650	173	Be
避	8689	4.48	1.2816	4341	Avoid
节育	8690	4.48	1.4879	9440	Birth Control
参战	8691	4.48	1.4320	7606	War
终止	8692	4.48	1.1110	3867	Termination
税金	8693	4.48	1.3285	5148	Taxes
遗留	8694	4.48	1.2493	4542	Legacy
反复	8695	4.48	1.2162	2152	Repeatedly
落	8696	4.48	1.3130	2720	Drop
征收	8697	4.48	1.4320	2033	Collection
回落	8698	4.48	1.0544	7963	Down
不顾	8699	4.48	1.5550	3023	Regardless of
黑	8700	4.48	1.4177	4599	Black
付	8701	4.48	1.0736	1966	Pay
牲畜	8702	4.48	1.5939	6186	Livestock
占领	8703	4.48	1.4879	2867	Occupied
不免	8704	4.48	1.3886	7047	Unavoidable
別	8705	4.48	1.3589	8536	Other
中介	8706	4.48	1.0925	3281	Intermediary
剔除	8707	4.48	1.6193	9225	Excluding
统制	8708	4.48	1.3285	8600	Control
裁	8709	4.48	1.2816	5343	Sanction
忙碌	8710	4.48	1.4602	7915	Busy
谋取	8711	4.48	1.5151	7096	Seek
防范	8712	4.48	1.4879	4575	Prevention
